ticket,magic,symbol,direction,volume,open_price,close_price,open_time,close_time,profit,commission,swap,comment
289387929,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,-4.87,-0.03,0.00,
289387935,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,4.95,-0.03,0.00,
289387937,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,4.74,-0.03,0.00,
289387938,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,4.27,-0.03,0.00,
289387940,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,-0.89,-0.03,0.00,
289387941,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,-4.89,-0.03,0.00,
289387942,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,-4.81,-0.03,0.00,
289387943,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,5.35,-0.03,0.00,
289387944,0,XAUUSD.pc,BUY,0.01,4358.90000,4358.90000,2026.06.15 16:50:57,2026.06.15 16:50:57,-5.29,-0.03,0.00,
289387947,0,XAUUSD.pc,BUY,0.01,4358.91000,4358.91000,2026.06.15 16:50:57,2026.06.15 16:50:57,4.55,-0.03,0.00,
289434584,0,XAUUSD.pc,SELL,0.01,4357.65000,4357.65000,2026.06.15 17:03:59,2026.06.15 17:03:59,0.00,-0.03,0.00,
289437712,0,XAUUSD.pc,SELL,0.01,4359.04000,4359.04000,2026.06.15 17:04:28,2026.06.15 17:04:28,0.00,-0.03,0.00,
289437913,0,XAUUSD.pc,SELL,0.01,4358.78000,4358.78000,2026.06.15 17:04:30,2026.06.15 17:04:30,0.00,-0.03,0.00,
289446495,0,XAUUSD.pc,SELL,0.01,4363.90000,4363.90000,2026.06.15 17:05:52,2026.06.15 17:05:52,0.00,-0.03,0.00,
289447225,0,XAUUSD.pc,SELL,0.01,4364.18000,4364.18000,2026.06.15 17:05:54,2026.06.15 17:05:54,0.00,-0.03,0.00,
289461458,0,XAUUSD.pc,SELL,0.01,4367.87000,4367.87000,2026.06.15 17:07:07,2026.06.15 17:07:07,0.00,-0.03,0.00,
289461520,0,XAUUSD.pc,SELL,0.01,4367.97000,4367.97000,2026.06.15 17:07:09,2026.06.15 17:07:09,0.00,-0.03,0.00,
289469312,0,XAUUSD.pc,SELL,0.01,4365.62000,4365.62000,2026.06.15 17:10:04,2026.06.15 17:10:04,0.00,-0.03,0.00,
289478150,0,XAUUSD.pc,BUY,0.01,4362.26000,4362.26000,2026.06.15 17:11:57,2026.06.15 17:11:57,1.92,-0.03,0.00,
289478154,0,XAUUSD.pc,BUY,0.01,4362.24000,4362.24000,2026.06.15 17:11:57,2026.06.15 17:11:57,3.38,-0.03,0.00,
289478160,0,XAUUSD.pc,BUY,0.01,4362.24000,4362.24000,2026.06.15 17:11:57,2026.06.15 17:11:57,-4.59,-0.03,0.00,
289478162,0,XAUUSD.pc,BUY,0.01,4362.24000,4362.24000,2026.06.15 17:11:57,2026.06.15 17:11:57,1.66,-0.03,0.00,
289478165,0,XAUUSD.pc,BUY,0.01,4362.33000,4362.33000,2026.06.15 17:11:57,2026.06.15 17:11:57,-3.55,-0.03,0.00,
289478167,0,XAUUSD.pc,BUY,0.01,4362.33000,4362.33000,2026.06.15 17:11:57,2026.06.15 17:11:57,-3.29,-0.03,0.00,
